Last Name,First Name,Team,Bye,Pos,PASS YDS,PASS TD,INT,RUSH YDS,CATCH,REC YDS,REG TD,Bonus,Dynst,Points,Reg VBD,PPR Points,PPR VBD,TD Points,TD VBD,Points (2QB),VBD 2QB,Points (Custom),VBD Custom,Write-up,,VBD Mods,WRs,Vmodes,WRs
Chase,Ja'Marr,Bengals,10,WR,,,,,124,1650,17,2,10,269,144,393,197,169,96,269,144,269,141,Ja'Marr Chase and Joe Burrow managed to stay healthy all year. The result was Chase leading the NFL in receptions and receiving yards.,,Drafteds,42,V_Reg,125
Jefferson,Justin,Vikings,6,WR,,,,,113,1770,14,,8,261,136,374,178,154,81,261,136,261,133,"Justin Jefferson will practice this week, according to Kevin O'Connell. Jefferson isn't in the clear yet, but this is a step in the right direction. This injury, which may be a complete non-factor, may allow you to scoop him up at a much better ADP than usual. ",,Starters,24,V-PPR,196
Nabers,Malik,Giants,14,WR,,,,,120,1530,15,,20,243,118,363,167,151,78,243,118,243,115,"Malik Nabers is dealing with back tightness and hasn't practiced in 11 days. This isn't great, but Nabers could still suit up for Week 1.",,Active Starters,2,V-TD,73
London,Drake,Falcons,5,WR,,,,,108,1490,13,,12,227,102,335,139,137,64,227,102,227,99,"Drake London topped 1,000 yards for the first time in his career. He caught 100 passes and meshed well Michael Penix Jr.",,,,V-2QB,125
Thomas,Brian,Jaguars,8,WR,,,,,92,1420,14,,20,226,101,318,122,140,67,226,101,226,98,Brian Thomas was seen as a raw receiver with tons of upside heading into his rookie campaign. So much for being raw. Thomas was incredible throughout his first season despite playing with Trevor Lawrence for just half the year.,,,,,
Collins,Nico,Texans,6,WR,,,,,91,1410,13,,10,219,94,310,114,134,61,219,94,219,91,Nico Collins resembled Julio Jones at times last year. He's the only trustworthy receiver on the Texans.,,,,,
Lamb,CeeDee,Cowboys,10,WR,,,,,118,1390,11,7,5,212,87,330,134,127,54,212,87,212,84,CeeDee Lamb took a step backward last year because of a declining Dallas offensive line and then an injury to Dak Prescott.,,VBD Mods,WRs,Vmodes,WR
St. Brown,Amon-Ra,Lions,8,WR,,,,,122,1440,10,,10,204,79,326,130,117,44,204,79,204,76,Amon-Ra St. Brown continued to be a PPR machine last year. He caught a career-high 12 touchdowns.,,Drafteds,41,V-Custom,128
Nacua,Puka,Rams,8,WR,,,,,126,1610,7,,15,203,78,329,133,106,33,203,78,203,75,"Puka Nacua set rookie records for catches and receiving yards in 2023. He didn't match those numbers last year, but only because he missed six games with an injury and another one for an early ejection.",,Starters,24,,
Brown,A.J. ,Eagles,9,WR,,,,,86,1350,11,,5,201,76,287,91,120,47,201,76,201,73,"A.J. Brown missed four games ast year, but was otherwise terrific as always. Brown missed practice Thursday with what is assumed to be a setback with his hamstring. This is becoming worrisome. Brown could miss some time, which would elevate DeVonta Smith. ",,Active Starters,2,,
McConkey,Ladd,Chargers,12,WR,,,,,100,1380,10,,20,198,73,298,102,115,42,198,73,198,70,"Justin Herbert had a great rapport with Ladd McConkey, who put together some incredible performances down the stretch, including his 197-yard showing in the playoffs.",,,,,
Smith-Njigba,Jaxon,Seahawks,8,WR,,,,,108,1310,9,,12,185,60,293,97,106,33,185,60,185,57,"Jaxon Smith-Njigba had some nice moments as a rookie. He became the primary receiver down the stretch, and now that is permanent with DK Metcalf gone.",,,,,
Higgins,Tee,Bengals,10,WR,,,,,82,1240,9,,5,178,53,260,64,103,30,178,53,178,50,Tee Higgins will be back in Cincinnati. He projects as a WR2 who will post WR1 numbers if Ja'Marr Chase gets hurt.,,,,,
Sutton,Courtland,Broncos,12,WR,,,,,92,1190,9,,3,173,48,265,69,101,28,173,48,173,45,"If the preseason finale is any indication, Courtland Sutton is going to get a million targets this year. He was thrown to on seven of Bo Nix's 14 passes, and no other Bronco had more than two targets. Sutton reeled in a 14-yard back-shoulder pass on a fourth down and later spun away for extra yardage after making a deep reception. He snatched a contested catch touchdown as well.",,,,,
Hunter,Travis,Jaguars,8,WR,,,,,82,1240,8,,30,172,47,254,58,97,24,172,47,172,44,"Travis Hunter saw three targets out of Trevor Lawrence's seven passes during the opening drive. Hunter converted a third-down reception and later made some defenders miss after making a catch at the line of scrimmage. Hunter finished with just nine receiving yards, but it's clear that he'll be a featured weapon in this new offense.",,,,,
