#,Name,Team,Pos,Pos Det,Games,Health,Snaps,Tackles,Tackles Solo,Tackles Ast,TFL,Sacks,Pass Def,Ints,Fum Forc,Fum Rec,Saf,TD Ret,Ret Yds,STD PTS
1,Roquan Smith,BAL,LB,ILB,17,,920.0,162.8,77.7,83.7,10.4,1.5,4.1,1.0,1.4,0.7,0.0,0.2,16,226.4
2,Jamien Sherwood,NYJ,LB,MLB,17,,948.0,155.1,72.8,80.3,10.1,2.5,2.8,0.4,1.0,0.5,0.1,0.1,8,212.4
3,Kenneth Murray,DAL,LB,ILB,17,,936.0,145.3,68.2,73.5,9.1,4.1,3.0,0.7,1.0,0.5,0.1,0.2,13,207.3
4,Alex Singleton,DEN,LB,RILB,17,,990.0,152.3,65.5,85.2,9.7,1.6,4.6,0.8,1.1,0.5,0.0,0.2,14,206.8
5,Jordyn Brooks,MIA,LB,LILB,17,,971.0,142.0,63.8,74.0,8.7,4.3,4.3,0.6,1.2,0.6,0.1,0.1,11,203.3
6,Robert Spillane,NE,LB,LILB,17,,972.0,140.9,64.1,74.3,9.1,2.6,3.4,1.7,1.0,0.5,0.1,0.3,25,201.8
7,Logan Wilson,CIN,LB,MLB,17,,1006.0,145.0,68.4,75.5,9.1,1.1,2.6,1.1,1.1,0.5,0.0,0.2,18,199.3
8,Zaire Franklin,IND,LB,MLB,17,Q,987.0,141.0,66.1,73.0,8.9,1.8,4.7,0.7,1.2,0.6,0.0,0.2,13,197.8
9,Kaden Elliss,ATL,LB,RILB,17,,980.0,137.4,58.0,75.4,8.4,5.0,2.8,0.7,1.0,0.5,0.1,0.2,12,195.6
10,Demario Davis,NO,LB,MLB,17,,992.0,133.6,61.6,68.0,9.0,4.5,4.3,0.7,0.9,0.4,0.1,0.1,12,195.3
11,Fred Warner,SF,LB,MLB,17,,906.0,128.6,60.2,66.4,8.2,2.5,6.1,2.1,1.1,0.6,0.1,0.3,32,195.2
12,Zack Baun,PHI,LB,LILB,17,,918.0,133.9,60.2,69.8,8.2,3.8,3.4,1.2,1.0,0.5,0.1,0.2,19,192.6
13,Ernest Jones,SEA,LB,ILB,17,,959.0,131.0,62.0,66.8,8.7,2.5,4.3,0.6,1.1,0.5,0.1,0.1,11,187.4
14,Budda Baker,ARI,DB,FS,17,,977.0,134.9,73.9,59.8,5.1,1.3,4.1,0.4,1.1,0.5,0.0,0.1,9,186.5
15,Bobby Wagner,WAS,LB,MLB,17,,969.0,132.7,61.9,68.3,9.2,2.3,2.9,0.3,1.0,0.5,0.1,0.1,7,184.4
16,Germaine Pratt,LV,LB,SLB,17,,950.0,122.9,64.0,57.7,8.0,1.2,4.6,1.7,1.1,0.5,0.0,0.3,26,184.0
17,Bobby Okereke,NYG,LB,LILB,17,,988.0,127.9,58.3,67.5,8.2,2.4,4.2,1.0,1.1,0.5,0.1,0.2,16,182.7
