Player,Team,ATT,CMP,YDS,TDS,INTS,ATT.1,YDS.1,TDS.1,FL,FPTS,Pos,REC
 ,,,,,,,,,,,,QB,
Josh Allen,BUF,520.9,333.6,"3,913.5",29.0,10.4,115.9,572.2,10.7,3.4,376.7,QB,
Lamar Jackson,BAL,477.5,319.1,"3,871.4",32.3,8.3,134.7,828.0,3.9,4.5,372.9,QB,
Jalen Hurts,PHI,462.3,312.4,"3,543.7",23.6,8.6,147.3,633.2,12.6,3.9,359.0,QB,
Jayden Daniels,WAS,530.7,360.6,"3,867.6",26.7,10.6,137.5,749.8,5.7,2.5,355.1,QB,
Joe Burrow,CIN,623.6,431.9,"4,641.5",35.7,10.4,48.2,179.7,2.1,3.8,341.0,QB,
Patrick Mahomes II,KC,603.0,408.3,"4,270.1",30.3,12.1,75.1,365.6,2.8,2.5,328.5,QB,
Baker Mayfield,TB,553.8,383.7,"4,164.8",32.7,14.7,64.5,288.5,2.6,3.9,318.9,QB,
Kyler Murray,ARI,540.4,366.4,"3,820.0",24.2,11.2,88.6,551.8,5.1,3.8,316.4,QB,
Brock Purdy,SF,522.6,349.6,"4,288.9",27.1,12.4,64.6,279.1,3.6,2.9,310.9,QB,
Bo Nix,DEN,558.2,364.7,"3,800.4",27.4,12.1,88.7,423.4,3.5,2.0,309.2,QB,
Justin Fields,NYJ,496.6,308.7,"3,243.4",19.2,10.9,135.1,743.3,6.1,3.8,299.1,QB,
J.J. McCarthy,MIN,559.0,364.7,"4,055.4",28.6,14.4,57.5,258.6,2.1,3.8,292.6,QB,
Dak Prescott,DAL,602.7,396.6,"4,258.1",27.6,12.1,42.5,178.4,1.9,3.0,291.5,QB,
Justin Herbert,LAC,536.3,351.7,"3,956.4",25.6,8.5,65.4,272.0,2.6,2.5,290.1,QB,
Caleb Williams,CHI,562.0,357.1,"3,767.2",23.8,10.3,86.8,470.6,2.6,4.5,289.1,QB,
Jared Goff,DET,549.8,380.1,"4,350.5",30.0,11.5,30.3,61.5,0.5,2.9,285.6,QB,
C.J. Stroud,HOU,560.7,360.3,"4,071.0",24.9,10.6,58.7,256.9,1.7,3.7,280.3,QB,
Drake Maye,NE,517.3,345.5,"3,573.6",22.7,12.7,77.2,491.7,3.0,4.8,279.0,QB,
Jordan Love,GB,507.6,325.7,"3,900.0",27.6,12.1,41.5,166.8,1.9,2.5,277.3,QB,
Trevor Lawrence,JAC,551.5,354.0,"3,985.1",23.5,13.0,54.4,252.3,3.1,4.1,275.7,QB,
Bryce Young,CAR,557.5,353.3,"3,649.7",21.6,12.0,52.8,294.7,3.5,3.5,264.2,QB,
Michael Penix Jr.,ATL,543.2,347.9,"3,923.9",23.5,13.4,52.1,196.6,2.1,3.2,263.5,QB,
Tua Tagovailoa,MIA,575.3,399.3,"4,142.8",26.0,11.9,26.8,86.0,0.5,3.9,261.8,QB,
Geno Smith,LV,567.3,380.1,"3,963.6",22.0,13.5,54.2,242.2,1.7,2.8,261.6,QB,
Matthew Stafford,LAR,546.6,358.7,"4,035.3",25.7,11.0,29.3,72.7,0.7,2.5,260.1,QB,
Cam Ward,TEN,517.0,329.5,"3,574.1",21.6,13.8,74.3,330.1,2.4,4.1,254.5,QB,
Sam Darnold,SEA,546.5,358.1,"3,807.7",22.7,13.9,59.5,205.4,1.9,3.8,253.4,QB,
Aaron Rodgers,PIT,543.0,348.4,"3,751.4",22.9,9.7,22.4,80.6,0.4,2.8,237.3,QB,
Daniel Jones,IND,443.7,277.3,"2,893.7",17.2,9.9,92.2,408.6,3.4,3.4,229.3,QB,
Russell Wilson,NYG,421.1,269.5,"2,860.9",15.5,8.1,51.0,216.0,1.9,2.6,195.8,QB,
Spencer Rattler,NO,374.0,227.3,"2,430.7",13.4,8.9,40.6,217.9,1.0,4.0,161.6,QB,
Joe Flacco,CLE,420.8,264.6,"2,770.1",14.2,11.3,15.2,43.5,0.4,3.8,155.6,QB,
Tyler Shough,NO,173.7,109.4,"1,286.1",6.3,5.3,19.7,92.6,0.6,1.3,81.5,QB,
Anthony Richardson Sr.,IND,68.5,38.9,662.1,3.6,3.2,17.4,146.5,1.4,1.2,58.5,QB,
Dillon Gabriel,CLE,126.2,77.9,793.8,3.9,2.9,11.4,45.2,0.4,0.8,50.1,QB,
Jaxson Dart,NYG,95.7,60.0,696.0,3.5,3.0,11.1,57.1,0.5,1.1,45.7,QB,
Shedeur Sanders,CLE,95.2,58.2,649.4,3.1,2.5,11.8,37.0,0.1,1.0,38.5,QB,
Jalen Milroe,SEA,16.2,10.2,130.4,0.8,0.8,25.6,110.9,1.0,0.4,24.3,QB,
Mason Rudolph,PIT,20.4,13.5,151.7,0.9,0.7,18.8,67.7,0.5,0.0,18.8,QB,
