"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Bijan Robinson","RB","ATL","304","19","2.06","282","334","172","178","172","1","2","1","1","1","2.82","59.7","10"
"Saquon Barkley","RB","PHI","302","13.2","9.98","284","324","170","180","162","2","1","2","2","1","3.46","59.5","1"
"Jahmyr Gibbs","RB","DET","292","12.1","26.2","274","307","160","170","144","3","3","3","3","2","4.58","56.7","1"
"Ja'Marr Chase","WR","CIN","299","22.3","36.7","273","329","136","134","129","4","6","6","1","1","2.2","62.5","12"
"Derrick Henry","RB","BAL","266","18.8","2.93","240","294","133","136","131","5","4","5","4","3","9.38","49","13"
"Christian McCaffrey","RB","SF","263","22.9","7.26","240","304","130","136","142","6","5","4","5","3","9.4","56.6","38"
"Devon Achane","RB","MIA","256","15.9","2.34","234","275","123","129","113","7","7","8","6","3","18.2","38.7","8"
"Josh Jacobs","RB","GB","253","18.1","5.06","230","280","121","125","118","8","8","7","7","3","15.4","41.4","14"
"Ashton Jeanty","RB","LVR","248","20.4","3.43","211","274","116","106","111","9","12","9","8","4","11.5","48.9","21"
"Jonathan Taylor","RB","IND","245","16.8","2.1","224","268","112","119","105","10","9","11","9","4","17","41.6","11"
"Bucky Irving","RB","TB","243","18.8","0.74","216","265","110","112","103","11","11","13","10","4","20","37.1","20"
"Kyren Williams","RB","LAR","242","14.5","3.36","222","260","109","118","97.3","12","10","15","11","4","22","33.9","7"
"Chase Brown","RB","CIN","239","22.3","16","200","267","106","95.5","105","13","15","12","12","5","22.5","38","32"
"Justin Jefferson","WR","MIN","262","24.6","4.57","234","311","99.6","94.9","111","14","16","10","2","1","7.02","54.3","25"
"CeeDee Lamb","WR","DAL","257","13.5","9.64","237","276","95.1","98.5","77","15","13","22","3","1","7.68","54.2","1"
"James Cook","RB","BUF","223","20.7","7.46","202","251","90.2","97.6","88.6","16","14","16","13","5","28.7","27.8","28"
"Josh Allen","QB","BUF","385","19.5","4.79","354","408","88.9","76.9","87.3","17","27","18","1","1","17.8","36.1","6"
"Brock Bowers","TE","LVR","204","8.41","7.48","194","215","85.8","86.2","72.3","18","19","29","1","1","27.9","32.9","3"
"Malik Nabers","WR","NYG","248","27.2","1.9","223","298","85.4","84.5","98.5","19","20","14","4","1","13.7","45.8","50"
"Lamar Jackson","QB","BAL","380","18.1","13.9","357","408","84.1","79.2","87.5","20","25","17","2","1","18.8","34.2","9"
"Puka Nacua","WR","LAR","246","19.2","2.07","223","274","83.5","84.4","74.3","21","21","28","5","1","16.2","42.4","19"
"Alvin Kamara","RB","NO","215","17","5.44","195","243","82.7","90.9","80.9","22","17","20","14","6","39.7","24.1","15"
"Amon-Ra St. Brown","WR","DET","244","17","4.95","222","264","81.4","83.2","64.7","23","22","33","6","2","14.2","47.3","8"
"Trey McBride","TE","ARI","196","7.08","9.28","188","206","78.3","80.2","63.3","24","24","35","2","1","36","28.5","1"
"Breece Hall","RB","NYJ","210","20.8","0.0834","191","247","77.3","86.8","84.8","25","18","19","15","6","41.8","19.5","35"
"Chuba Hubbard","RB","CAR","210","19.9","2.28","183","239","77.2","78.7","76.8","26","26","23","16","6","43.9","21.2","31"
"Brian Thomas Jr.","WR","JAC","239","22.5","1.23","205","271","76.5","66","72.2","27","31","30","7","2","18","39.6","29"
"Nico Collins","WR","HOU","237","15.6","10.2","219","263","75.3","80.4","63.4","28","23","34","8","2","14.9","45.4","4"
"James Conner","RB","ARI","207","18.1","1.98","180","231","74.9","75.4","68.7","29","28","32","17","6","44.5","21.8","17"
"Omarion Hampton","RB","LAC","205","26.5","3.92","168","238","72.9","64.2","75.3","30","34","25","18","6","36.5","28.4","55"
"Jayden Daniels","QB","WAS","366","22.1","7.18","339","396","70.2","62.1","75.9","31","36","24","3","2","27.5","27.6","14"
"George Kittle","TE","SF","187","16.8","26.5","169","213","69.1","60.7","69.9","32","37","31","3","2","39.2","24.2","29"
"Kenneth Walker III","RB","SEA","201","16.8","1.85","169","216","69","64.5","53.8","33","33","37","19","6","40.2","22.3","18"
