Overall Rank,Positional Rank,Player,Auction Value,Tier
1,1,"Ja'Marr Chase",0,1
2,2,"Justin Jefferson",0,1
3,1,"Bijan Robinson",0,1
4,2,"Jahmyr Gibbs",0,1
5,3,"Malik Nabers",0,1
6,4,"CeeDee Lamb",0,1
7,3,"Ashton Jeanty",0,1
8,1,"Brock Bowers",0,1
9,5,"Amon-Ra St. Brown",0,1
10,4,"Saquon Barkley",0,1
11,6,"Puka Nacua",0,1
12,1,"Josh Allen",0,1
13,7,"Brian Thomas",0,1
14,2,"Jayden Daniels",0,1
15,8,"Nico Collins",0,1
16,3,"Lamar Jackson",0,1
17,5,"De'Von Achane",0,1
18,9,"Drake London",0,1
19,10,"Ladd McConkey",0,1
20,11,"Marvin Harrison",0,1
21,2,"Trey McBride",0,1
22,6,"Bucky Irving",0,1
23,7,"Omarion Hampton",0,1
24,12,"A.J. Brown",0,1
25,4,"Joe Burrow",0,1
26,13,"Garrett Wilson",0,1
27,14,"Jaxon Smith-Njigba",0,1
28,8,"Jonathan Taylor",0,1
29,5,"Jalen Hurts",0,1
30,9,"Breece Hall",0,1
31,10,"Kyren Williams",0,1
32,11,"Christian McCaffrey",0,1
33,15,"Travis Hunter",0,1
34,12,"Josh Jacobs",0,1
35,13,"Derrick Henry",0,1
36,16,"Tetairoa McMillan",0,1
37,17,"Tee Higgins",0,1
38,14,"James Cook",0,1
39,15,"TreVeyon Henderson",0,1
40,3,"Sam LaPorta",0,1
41,18,"Rashee Rice",0,1
42,16,"Chase Brown",0,1
43,17,"Quinshon Judkins",0,1
44,19,"Terry McLaurin",0,1
45,20,"Rome Odunze",0,1
46,21,"Xavier Worthy",0,1
47,22,"DeVonta Smith",0,1
48,18,"Kenneth Walker",0,1
49,6,"Patrick Mahomes",0,1
50,19,"RJ Harvey",0,1
51,23,"Zay Flowers",0,1
52,20,"Kaleb Johnson",0,1
53,4,"George Kittle",0,1
54,21,"Chuba Hubbard",0,1
55,5,"Tyler Warren",0,1
56,24,"Emeka Egbuka",0,1
57,22,"Joe Mixon",0,1
58,25,"Jordan Addison",0,1
59,26,"Tyreek Hill",0,1
60,27,"DK Metcalf",0,1
61,28,"DJ Moore",0,1
62,29,"George Pickens",0,1
63,30,"Chris Olave",0,1
64,6,"T.J. Hockenson",0,1
65,31,"Jameson Williams",0,1
66,7,"Bo Nix",0,1
67,7,"Colston Loveland",0,1
68,23,"Alvin Kamara",0,1
69,32,"Matthew Golden",0,1
70,24,"David Montgomery",0,1
71,33,"Jaylen Waddle",0,1
72,34,"Mike Evans",0,1
73,8,"Caleb Williams",0,1
74,25,"Isiah Pacheco",0,1
75,35,"Jerry Jeudy",0,1
76,9,"Justin Herbert",0,1
77,26,"Cam Skattebo",0,1
78,10,"C.J. Stroud",0,1
79,27,"Tyrone Tracy",0,1
80,36,"Davante Adams",0,1
81,11,"Drake Maye",0,1
82,28,"James Conner",0,1
83,29,"Brian Robinson",0,1
84,30,"D'Andre Swift",0,1
85,37,"Courtland Sutton",0,1
86,31,"Travis Etienne",0,1
87,38,"Brandon Aiyuk",0,1
88,8,"Dalton Kincaid",0,1
89,9,"Mark Andrews",0,1
90,39,"Luther Burden",0,1
91,40,"Ricky Pearsall",0,1
